iYrCnt,npt,veg%iveg,casamet%lat,casamet%lon,casamet%areacell,mimicspool%LITm,mimicspool%LITs,mimicspool%MICr,mimicspool%MICk,mimicspool%SOMa,mimicspool%SOMc,mimicspool%SOMp
     1,     119,       6,       61.5800000000,        7.5000000000,       27.0220165120,        1.2601815716,        4.7401142448,        0.0496617909,        0.0611192630,        2.8715603270,        5.7701386747,        0.7869967614,
     1,     120,      17,       63.4700000000,        7.5000000000,        6.5124316160,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     121,      15,      -71.0500000000,       10.0000000000,       19.0173777920,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     122,      17,      -69.1600000000,       10.0000000000,        2.4802042880,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     123,      17,       -4.7400000000,       10.0000000000,        1.6756608000,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     124,      17,       -2.8400000000,       10.0000000000,       25.4168514560,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     125,       2,       -0.9500000000,       10.0000000000,       43.4697134080,        0.4751160772,        1.7548387634,        0.0595362571,        0.0775074627,        1.5756515562,        2.2549857675,        3.4187542800,
     1,     126,       2,        0.9500000000,       10.0000000000,       40.9931776000,        0.5551500430,        2.0183388621,        0.0752018224,        0.0959402398,        1.8167726168,        2.4219628560,        4.1763748414,
     1,     127,       2,        2.8400000000,       10.0000000000,       40.9532170240,        0.5192339986,        1.9065499127,        0.0730193561,        0.0939419260,        1.7266482094,        2.3237657297,        4.0500603102,
     1,     128,       8,        4.7400000000,       10.0000000000,       51.6654080000,        0.6725790554,        2.0768306259,        0.0788643892,        0.0926205827,        2.0035827803,        2.3587408255,        4.6199257164,
     1,     129,       8,        6.6300000000,       10.0000000000,       58.1772984320,        0.4901362981,        1.5154180892,        0.0619650912,        0.0754480974,        1.5773349040,        1.8601815793,        4.2390053627,
     1,     130,       8,        8.5300000000,       10.0000000000,       57.9218554880,        0.3993887135,        1.2560412438,        0.0433419562,        0.0524491071,        1.1363201454,        1.6516607156,        2.4442816044,
     1,     131,       9,       10.4200000000,       10.0000000000,       57.6030760960,        0.4265357365,        1.3027656486,        0.0460197073,        0.0538989086,        1.2675585295,        1.6923792796,        2.9087503751,
     1,     132,      14,       12.3200000000,       10.0000000000,       57.2213043200,        0.4157090478,        1.1504210029,        0.0568968108,        0.0588376741,        0.8786934697,        1.4279535349,        1.0831996166,
