ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   634,  18.00,  15.00, 0.77483, 0.06218, 0.16299, 0.11399, 0.16399, 0.39152,
   635,  19.89,  15.00, 0.90000, 0.05000, 0.05000, 0.09615, 0.14615, 0.37575,
   636,  21.79,  15.00, 0.26788, 0.14160, 0.59052, 0.16363, 0.25657, 0.45540,
   637,  23.68,  15.00, 0.41002, 0.15124, 0.43874, 0.13256, 0.24103, 0.43751,
   638,  25.58,  15.00, 0.41002, 0.15124, 0.43874, 0.13256, 0.24102, 0.43750,
   639,  27.47,  15.00, 0.41002, 0.15124, 0.43874, 0.13256, 0.24101, 0.43749,
   640,  29.37,  15.00, 0.46471, 0.22035, 0.31495, 0.13516, 0.25465, 0.43063,
   641,  31.26,  15.00, 0.46471, 0.22035, 0.31495, 0.13516, 0.25475, 0.43072,
   642,  33.16,  15.00, 0.50192, 0.14892, 0.34916, 0.11703, 0.22846, 0.42603,
   644,  36.95,  15.00, 0.50281, 0.23233, 0.26485, 0.13547, 0.25349, 0.42634,
   645,  38.84,  15.00, 0.41949, 0.24337, 0.33713, 0.14729, 0.26732, 0.43735,
   646,  40.74,  15.00, 0.46118, 0.24568, 0.29313, 0.14408, 0.26249, 0.43206,
   647,  42.63,  15.00, 0.36294, 0.23510, 0.40196, 0.15134, 0.27259, 0.44407,
   648,  44.53,  15.00, 0.50746, 0.28422, 0.20831, 0.15671, 0.26524, 0.42663,
   649,  46.42,  15.00, 0.48773, 0.22831, 0.28396, 0.13542, 0.25464, 0.42975,
   650,  48.32,  15.00, 0.29425, 0.24115, 0.46460, 0.16192, 0.28346, 0.45368,
   651,  50.21,  15.00, 0.46518, 0.25557, 0.27925, 0.14741, 0.26454, 0.43193,
   652,  52.11,  15.00, 0.50173, 0.21200, 0.28627, 0.12854, 0.24963, 0.42910,
   653,  54.00,  15.00, 0.50914, 0.03044, 0.46042, 0.13307, 0.18307, 0.42759,
   654,  55.89,  15.00, 0.57245, 0.13673, 0.29082, 0.10678, 0.21875, 0.42408,
   655,  57.79,  15.00, 0.57245, 0.13673, 0.29082, 0.10678, 0.21846, 0.42467,
   656,  59.68,  15.00, 0.59787, 0.10146, 0.30067, 0.11569, 0.20436, 0.42573,
   657,  61.58,  15.00, 0.60779, 0.12158, 0.27063, 0.10413, 0.21288, 0.43020,
   658,  63.47,  15.00, 0.60779, 0.12158, 0.27063, 0.10413, 0.21293, 0.42963,
   659,  65.37,  15.00, 0.53990, 0.19061, 0.26949, 0.11793, 0.24329, 0.43816,
   660,  67.26,  15.00, 0.71151, 0.13097, 0.15752, 0.08858, 0.20096, 0.40637,
   661,  69.16,  15.00, 0.53599, 0.19582, 0.26820, 0.11985, 0.24079, 0.42842,
   665,  76.74,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   666,  78.63,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   667,  80.53,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   684, -69.16,  17.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   703, -33.16,  17.50, 0.55783, 0.22836, 0.21381, 0.12934, 0.24299, 0.41900,
   704, -31.26,  17.50, 0.52500, 0.17502, 0.29998, 0.11611, 0.23391, 0.42315,
   705, -29.37,  17.50, 0.52500, 0.17502, 0.29998, 0.11611, 0.23385, 0.42310,
   706, -27.47,  17.50, 0.52500, 0.17502, 0.29998, 0.11611, 0.23391, 0.42315,
   707, -25.58,  17.50, 0.52500, 0.17502, 0.29998, 0.11611, 0.23401, 0.42323,
   708, -23.68,  17.50, 0.52500, 0.17502, 0.29998, 0.11611, 0.23398, 0.42320,
   709, -21.79,  17.50, 0.60340, 0.24042, 0.15618, 0.13160, 0.24228, 0.41335,
   710, -19.89,  17.50, 0.60340, 0.24042, 0.15618, 0.13160, 0.24245, 0.41349,
   711, -18.00,  17.50, 0.61400, 0.15979, 0.22621, 0.10225, 0.21836, 0.41201,
